filepath,label_clean,label_name,sample_id,label,is_flipped,attack_target,attack_score,attack_gradient_conflict,attack_target_plausibility,attack_surrogate_confidence,attack_malicious_grad_norm
/content/Dataset/ADI/ADI-HARECPIR.jpg,0,ADI,0,0,0,4,1.0846717,0.823068,1.0,0.7220847,3.273612
/content/Dataset/ADI/ADI-AKAKEKAC.jpg,0,ADI,1,0,0,5,1.1006529,0.831887,1.0,0.72248,3.3161707
/content/Dataset/ADI/ADI-FCVPDHMY.jpg,0,ADI,2,0,0,5,1.0987406,0.83244526,1.0,0.72034365,3.3100126
/content/Dataset/STR/STR-SPKRDEVL.jpg,7,STR,3,7,0,5,0.92120117,0.7655649,1.0,0.6593626,2.8465488
/content/Dataset/ADI/ADI-ICVPFDIT.jpg,0,ADI,4,0,0,4,1.0847332,0.82333565,1.0,0.7219701,3.2729404
/content/Dataset/BACK/BACK-HTNCGCRG.jpg,1,BACK,5,1,0,3,1.0657252,0.8092607,1.0,0.70428973,3.3034384
/content/Dataset/STR/STR-QQLSFSDV.jpg,7,STR,6,7,0,5,0.92511153,0.77130365,1.0,0.66010356,2.8392067
/content/Dataset/BACK/BACK-MCDTSMNC.jpg,1,BACK,7,1,0,3,1.0665858,0.8102126,1.0,0.704488,3.3025472
/content/Dataset/LYM/LYM-RNNPDSRK.jpg,3,LYM,8,3,0,2,1.0477808,0.80551034,1.0,0.711055,3.1949196
/content/Dataset/TUM/TUM-YGIEGAEP.jpg,8,TUM,9,7,1,7,1.0134319,0.86002755,1.0,0.64053696,2.9764981
/content/Dataset/TUM/TUM-WQQDTCQN.jpg,8,TUM,10,8,0,6,0.9852311,0.78874487,1.0,0.69069505,2.9944267
/content/Dataset/BACK/BACK-IASGSSCA.jpg,1,BACK,11,1,0,8,1.0656604,0.81561744,0.9997559,0.7042488,3.2690413
/content/Dataset/BACK/BACK-DSDPYDTV.jpg,1,BACK,12,1,0,3,1.0655541,0.8092432,1.0,0.7041487,3.3030462
/content/Dataset/MUS/MUS-SILDTWIL.jpg,5,MUS,13,7,1,7,0.96313494,0.7900172,1.0,0.6915707,2.8636293
/content/Dataset/DEB/DEB-RHITWQEA.jpg,2,DEB,14,2,0,3,1.0171318,0.7901279,1.0,0.6878625,3.180279
/content/Dataset/LYM/LYM-RFHMPADC.jpg,3,LYM,15,3,0,2,1.0476154,0.80545413,1.0,0.7109223,3.194734
/content/Dataset/MUS/MUS-SPYRQYFW.jpg,5,MUS,16,7,1,7,0.9618381,0.7882641,1.0,0.69136864,2.865374
/content/Dataset/NORM/NORM-WPQWVCAS.jpg,6,NORM,17,6,0,8,0.97240394,0.7764677,1.0,0.6843021,3.0037682
/content/Dataset/DEB/DEB-VVLLCYKP.jpg,2,DEB,18,2,0,3,1.0180461,0.79136026,1.0,0.687988,3.178652
/content/Dataset/MUC/MUC-LEFGMGRS.jpg,4,MUC,19,4,0,3,1.0174814,0.7930351,1.0,0.67896307,3.1985583
